data,produto_id,produto_nome,quantidade,valor_total,cliente_id
2025-03-16,25,Capacete,5,925.7,8
2025-08-23,24,Trena,18,2472.3,5
2025-05-18,10,Broxa,12,274.68,6
2025-05-01,13,Lixa,15,656.55,4
2025-04-23,29,Cal,15,1947.75,10
2025-10-21,6,Prego,1,79.1,1
2025-03-31,18,Pa,5,322.2,5
2025-03-31,6,Prego,17,1344.7,8
2025-09-22,2,Areia,12,2368.44,7
2025-10-09,5,Parafuso,5,195.25,6
2025-06-17,4,Telha,1,91.63,4
2025-07-28,22,Alicate,16,540.48,1
2025-10-02,4,Telha,16,1466.08,5
2025-01-13,4,Telha,17,1557.71,5
2025-08-06,22,Alicate,7,236.46,7
2025-03-08,11,Rolo de Pintura,14,1002.82,7
2025-06-02,23,Serrote,10,1206.4,7
2025-02-14,4,Telha,7,641.41,5
2025-09-22,12,Fita Isolante,5,662.6,4
2025-11-01,1,Cimento,2,270.5,6
2025-03-06,20,Martelo,10,474.8,7
2025-09-30,8,Cano de Cobre,6,239.34,10
2025-07-17,18,Pa,3,193.32,5
2025-10-08,6,Prego,10,791.0,8
2025-06-29,10,Broxa,9,206.01,2
2025-04-23,13,Lixa,19,831.63,9
2025-01-27,25,Capacete,20,3702.8,6
2025-01-28,23,Serrote,20,2412.8,3
2025-07-20,20,Martelo,20,949.6,4
2025-03-20,11,Rolo de Pintura,15,1074.45,7
2025-02-23,13,Lixa,8,350.16,4
2025-06-18,9,Argamassa,6,100.08,2
2025-01-23,20,Martelo,1,47.48,3
2025-04-21,17,Verniz,7,1078.98,6
2025-07-14,10,Broxa,4,91.56,5
2025-02-23,14,Madeira,10,589.6,1
2025-07-04,9,Argamassa,20,333.6,1
2025-02-03,30,Fio Eletrico,13,2478.97,9
2025-04-23,25,Capacete,15,2777.1,7
2025-01-28,15,Cola Branca,11,674.74,5
2025-02-28,18,Pa,11,708.84,7
2025-03-20,4,Telha,11,1007.93,6
2025-08-02,12,Fita Isolante,17,2252.84,5
2025-09-11,14,Madeira,14,825.44,4
2025-02-14,1,Cimento,12,1623.0,4
2025-07-30,10,Broxa,3,68.67,8
2025-02-09,27,Tijolo,14,1247.82,9
2025-08-15,25,Capacete,10,1851.4,9
2025-03-18,1,Cimento,6,811.5,10
2025-03-15,29,Cal,4,519.4,3
2025-01-05,19,Carrinho de Mão,5,201.3,9
2025-04-24,18,Pa,17,1095.48,10
2025-06-24,2,Areia,10,1973.7,4
2025-02-20,3,Tinta,5,293.45,4
2025-03-22,16,Silicone,9,1491.48,9
2025-06-14,21,Chave de Fenda,9,859.68,8
2025-10-26,30,Fio Eletrico,4,762.76,3
2025-10-16,22,Alicate,14,472.92,7
2025-01-22,8,Cano de Cobre,2,79.78,8
2025-11-01,8,Cano de Cobre,12,478.68,9
2025-01-28,1,Cimento,18,2434.5,6
2025-10-27,6,Prego,6,474.6,8
2025-02-17,4,Telha,5,458.15,2
2025-10-17,2,Areia,17,3355.29,7
2025-10-29,10,Broxa,19,434.91,10
2025-05-09,29,Cal,15,1947.75,4
2025-06-11,15,Cola Branca,7,429.38,4
2025-10-20,17,Verniz,8,1233.12,4
2025-09-18,4,Telha,2,183.26,8
2025-10-18,19,Carrinho de Mão,6,241.56,9
2025-07-30,26,Luvas,14,348.46,7
2025-06-16,8,Cano de Cobre,10,398.9,7
2025-05-02,24,Trena,12,1648.2,7
2025-07-06,15,Cola Branca,6,368.04,3
2025-02-03,25,Capacete,20,3702.8,1
2025-01-02,14,Madeira,9,530.64,8
2025-09-26,11,Rolo de Pintura,6,429.78,2
2025-05-26,27,Tijolo,2,178.26,5
2025-07-01,12,Fita Isolante,17,2252.84,4
2025-07-03,24,Trena,3,412.05,7
2025-04-03,20,Martelo,10,474.8,10
2025-09-25,17,Verniz,12,1849.68,9
2025-10-17,27,Tijolo,4,356.52,6
2025-06-09,22,Alicate,16,540.48,5
2025-10-10,4,Telha,3,274.89,5
2025-09-19,20,Martelo,2,94.96,5
2025-08-21,13,Lixa,13,569.01,1
2025-07-07,8,Cano de Cobre,16,638.24,3
2025-09-12,15,Cola Branca,20,1226.8,3
2025-09-17,5,Parafuso,12,468.6,6
2025-07-28,22,Alicate,6,202.68,10
2025-10-26,24,Trena,13,1785.55,3
2025-09-25,1,Cimento,6,811.5,8
2025-02-04,7,Tubo PVC,5,979.15,5
2025-01-04,30,Fio Eletrico,20,3813.8,8
2025-07-08,15,Cola Branca,9,552.06,7
2025-04-14,9,Argamassa,11,183.48,8
2025-01-18,20,Martelo,9,427.32,4
2025-09-22,23,Serrote,8,965.12,7
2025-10-17,12,Fita Isolante,8,1060.16,4

