data,produto_id,produto_nome,quantidade,valor_total,cliente_id
2024-01-01,1,Cimento CP-II 50kg,15,373.50,101
2024-01-01,2,Furadeira Bosch 650W,3,569.70,102
2024-01-01,3,Tinta Látex Branca 18L,5,449.50,103
2024-01-02,1,Cimento CP-II 50kg,20,498.00,104
2024-01-02,4,Parafusadeira Makita,2,599.80,105
2024-01-02,5,Tubo PVC 100mm,30,597.00,106
2024-01-03,6,Areia Lavada 20kg,25,222.50,107
2024-01-03,2,Furadeira Bosch 650W,1,189.90,108
2024-01-03,7,Tijolo Comum 9x19x19,500,2500.00,109
2024-01-04,1,Cimento CP-II 50kg,10,249.00,110
2024-01-04,3,Tinta Látex Branca 18L,3,269.70,111
2024-01-04,8,Argamassa Colante 20kg,40,1196.00,112
2024-01-05,2,Furadeira Bosch 650W,4,759.60,113
2024-01-05,5,Tubo PVC 100mm,25,497.50,114
2024-01-05,9,Rejunte Cerâmico 1kg,100,890.00,115
2024-01-06,1,Cimento CP-II 50kg,8,199.20,116
2024-01-06,6,Areia Lavada 20kg,20,178.00,117
2024-01-06,10,Impermeabilizante 18L,2,239.80,118
2024-01-07,3,Tinta Látex Branca 18L,4,359.60,119
2024-01-07,4,Parafusadeira Makita,1,299.90,120
2024-01-07,11,Serra Circular 1400W,1,349.90,121
2024-01-08,1,Cimento CP-II 50kg,12,298.80,122
2024-01-08,2,Furadeira Bosch 650W,2,379.80,123
2024-01-08,5,Tubo PVC 100mm,40,796.00,124
2024-01-09,6,Areia Lavada 20kg,15,133.50,125
2024-01-09,7,Tijolo Comum 9x19x19,300,1500.00,126
2024-01-09,12,Cal Hidratada 20kg,50,995.00,127
2024-01-10,1,Cimento CP-II 50kg,25,622.50,128
2024-01-10,3,Tinta Látex Branca 18L,6,539.40,129
2024-01-10,8,Argamassa Colante 20kg,30,897.00,130
2024-01-11,2,Furadeira Bosch 650W,3,569.70,131
2024-01-11,4,Parafusadeira Makita,2,599.80,132
2024-01-11,13,Martelo Demolidor 1500W,1,899.90,133
2024-01-12,1,Cimento CP-II 50kg,18,448.20,134
2024-01-12,5,Tubo PVC 100mm,35,696.50,135
2024-01-12,6,Areia Lavada 20kg,30,267.00,136
2024-01-13,3,Tinta Látex Branca 18L,7,629.30,137
2024-01-13,7,Tijolo Comum 9x19x19,400,2000.00,138
2024-01-13,14,Bloco Cerâmico 9x19x19,200,398.00,139
2024-01-14,1,Cimento CP-II 50kg,22,547.80,140
2024-01-14,2,Furadeira Bosch 650W,5,949.50,141
2024-01-14,9,Rejunte Cerâmico 1kg,80,712.00,142
2024-01-15,4,Parafusadeira Makita,3,899.70,143
2024-01-15,5,Tubo PVC 100mm,50,995.00,144
2024-01-15,10,Impermeabilizante 18L,3,359.70,145
2024-01-16,1,Cimento CP-II 50kg,30,747.00,146
2024-01-16,3,Tinta Látex Branca 18L,8,719.20,147
2024-01-16,6,Areia Lavada 20kg,40,356.00,148
2024-01-17,2,Furadeira Bosch 650W,4,759.60,149
2024-01-17,8,Argamassa Colante 20kg,50,1495.00,150
2024-01-17,11,Serra Circular 1400W,2,699.80,151
2024-01-18,1,Cimento CP-II 50kg,16,398.40,152
2024-01-18,4,Parafusadeira Makita,1,299.90,153
2024-01-18,12,Cal Hidratada 20kg,40,796.00,154
2024-01-19,3,Tinta Látex Branca 18L,5,449.50,155
2024-01-19,5,Tubo PVC 100mm,45,895.50,156
2024-01-19,7,Tijolo Comum 9x19x19,600,3000.00,157
2024-01-20,1,Cimento CP-II 50kg,28,697.20,158
2024-01-20,2,Furadeira Bosch 650W,6,1139.40,159
2024-01-20,6,Areia Lavada 20kg,35,311.50,160
2024-01-21,3,Tinta Látex Branca 18L,9,809.10,161
2024-01-21,4,Parafusadeira Makita,4,1199.60,162
2024-01-21,9,Rejunte Cerâmico 1kg,120,1068.00,163
2024-01-22,1,Cimento CP-II 50kg,20,498.00,164
2024-01-22,5,Tubo PVC 100mm,60,1194.00,165
2024-01-22,10,Impermeabilizante 18L,4,479.60,166
2024-01-23,2,Furadeira Bosch 650W,3,569.70,167
2024-01-23,8,Argamassa Colante 20kg,60,1794.00,168
2024-01-23,13,Martelo Demolidor 1500W,2,1799.80,169
2024-01-24,1,Cimento CP-II 50kg,24,597.60,170
2024-01-24,3,Tinta Látex Branca 18L,10,899.00,171
2024-01-24,6,Areia Lavada 20kg,50,445.00,172
2024-01-25,4,Parafusadeira Makita,2,599.80,173
2024-01-25,7,Tijolo Comum 9x19x19,500,2500.00,174
2024-01-25,11,Serra Circular 1400W,3,1049.70,175
2024-01-26,1,Cimento CP-II 50kg,26,647.40,176
2024-01-26,2,Furadeira Bosch 650W,5,949.50,177
2024-01-26,5,Tubo PVC 100mm,55,1094.50,178
2024-01-27,3,Tinta Látex Branca 18L,8,719.20,179
2024-01-27,8,Argamassa Colante 20kg,45,1345.50,180
2024-01-27,12,Cal Hidratada 20kg,60,1194.00,181
2024-01-28,1,Cimento CP-II 50kg,32,796.80,182
2024-01-28,4,Parafusadeira Makita,3,899.70,183
2024-01-28,6,Areia Lavada 20kg,45,400.50,184
2024-01-29,2,Furadeira Bosch 650W,4,759.60,185
2024-01-29,3,Tinta Látex Branca 18L,12,1078.80,186
2024-01-29,9,Rejunte Cerâmico 1kg,150,1335.00,187
2024-01-30,1,Cimento CP-II 50kg,30,747.00,188
2024-01-30,5,Tubo PVC 100mm,70,1393.00,189
2024-01-30,10,Impermeabilizante 18L,5,599.50,190
2024-01-31,2,Furadeira Bosch 650W,7,1329.30,191
2024-01-31,7,Tijolo Comum 9x19x19,700,3500.00,192
2024-01-31,8,Argamassa Colante 20kg,70,2093.00,193
